grad,ex-tuition,ex-other,ex-rent,in-scholarship,in-tuition,in-home,debt,work,work-school,worknum,region,school
TRUE,8700,0,8000,0,FALSE,10000,FALSE,TRUE,FALSE,,north,public
FALSE,11365,6500,8000,5000,FALSE,0,FALSE,TRUE,TRUE,1,north,public
FALSE,24223,0,8000,0,TRUE,6000,FALSE,TRUE,TRUE,1,north,public
TRUE,25000,5000,8000,0,TRUE,5000,FALSE,TRUE,FALSE,,north,public
FALSE,8876,2125,5000,4000,TRUE,10000,FALSE,TRUE,TRUE,1,north,public
TRUE,13306,5000,6000,5000,FALSE,0,FALSE,TRUE,TRUE,4,south,public
TRUE,11000,3750,11000,0,FALSE,10000,FALSE,TRUE,TRUE,2,north,public
TRUE,12660,5000,12000,0,TRUE,12000,FALSE,TRUE,TRUE,1,north,public
TRUE,20330,2500,8000,10000,FALSE,6000,FALSE,TRUE,TRUE,1,south,public
TRUE,17210,3300,6000,0,FALSE,3300,TRUE,TRUE,TRUE,3,south,public
TRUE,30000,4800,10000,0,FALSE,0,FALSE,TRUE,TRUE,3,north,public
FALSE,23000,2250,5000,5000,TRUE,0,FALSE,TRUE,TRUE,1,north,public
FALSE,16000,4300,5000,3000,TRUE,7000,FALSE,TRUE,TRUE,1,north,public
FALSE,26000,3000,4000,0,FALSE,4000,TRUE,FALSE,,,north,public
FALSE,3000,8500,10000,0,TRUE,10000,FALSE,TRUE,TRUE,1,north,public
FALSE,34200,9700,7000,0,TRUE,8000,FALSE,TRUE,TRUE,1,north,public
FALSE,26000,0,5000,0,FALSE,0,FALSE,TRUE,TRUE,1,north,public
FALSE,9000,0,5000,36000,TRUE,2500,FALSE,TRUE,TRUE,1,south,private
FALSE,9000,0,5000,36000,TRUE,2500,FALSE,TRUE,TRUE,1,south,private
FALSE,26000,2500,6000,0,TRUE,0,TRUE,TRUE,TRUE,3,east,public
FALSE,24510,3310,9000,0,TRUE,10000,FALSE,TRUE,TRUE,1,north,public
TRUE,10000,2500,10000,0,TRUE,10000,FALSE,TRUE,FALSE,,north,public
FALSE,38000,3000,6000,0,TRUE,2000,TRUE,TRUE,FALSE,,south,public
FALSE,25000,4000,8000,0,TRUE,3000,TRUE,TRUE,FALSE,,north,public
FALSE,49000,0,8000,5500,TRUE,8000,FALSE,TRUE,TRUE,2,central,private
FALSE,50000,4000,9000,0,FALSE,9000,TRUE,TRUE,FALSE,,central,private
FALSE,48692,4000,7000,0,TRUE,8000,FALSE,TRUE,TRUE,1,central,private
FALSE,28000,2200,12000,0,TRUE,0,FALSE,TRUE,FALSE,,north,public
FALSE,55000,4200,7000,0,TRUE,8500,FALSE,FALSE,,,central,private
FALSE,35000,0,7000,0,FALSE,0,TRUE,TRUE,FALSE,,central,private
FALSE,26045,1500,6000,0,TRUE,6000,FALSE,TRUE,TRUE,1,east,public
TRUE,26000,7500,10000,15000,TRUE,10000,FALSE,TRUE,TRUE,1,north,public
FALSE,25000,2500,7000,0,TRUE,10000,FALSE,TRUE,TRUE,2,east,public
FALSE,28354,2375,6000,0,TRUE,5000,TRUE,TRUE,TRUE,1,east,public
FALSE,23880,5000,7000,0,TRUE,10000,FALSE,TRUE,FALSE,,central,public
