"","grad","ex-tuition","ex-other","ex-rent","in-scholarship","in-tuition","in-home","debt","work","work-school","worknum","region","school","rev1","workhour1","rev2","workhour2","rev3","workhour3","rev4","workhour4","ofcrev","ofcwhr","ofcrev2","ofcwhr2","ofcrev3","ofcwhr3","ofcrev4","ofcwhr4"
"1",TRUE,8700,0,8000,0,FALSE,10000,FALSE,TRUE,FALSE,NA,"north","public",NA,NA,NA,NA,NA,NA,NA,NA,2400,12,NA,NA,NA,NA,NA,NA
"2",FALSE,11365,6500,8000,5000,FALSE,0,FALSE,TRUE,TRUE,1,"north","public",5000,15,NA,NA,NA,NA,NA,NA,3000,2.5,NA,NA,NA,NA,NA,NA
"3",FALSE,24223,0,8000,0,TRUE,6000,FALSE,TRUE,TRUE,1,"north","public",5000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",TRUE,25000,5000,8000,0,TRUE,5000,FALSE,TRUE,FALSE,NA,"north","public",NA,NA,NA,NA,NA,NA,NA,NA,12000,80,NA,NA,NA,NA,NA,NA
"5",FALSE,8876,2125,5000,4000,TRUE,10000,FALSE,TRUE,TRUE,1,"north","public",5000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",TRUE,13306,5000,6000,5000,FALSE,0,FALSE,TRUE,TRUE,4,"south","public",7000,35,5000,25,3000,15,3000,15,NA,NA,NA,NA,NA,NA,NA,NA
"7",TRUE,11000,3750,11000,0,FALSE,10000,FALSE,TRUE,TRUE,2,"north","public",9000,15,9000,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",TRUE,12660,5000,12000,0,TRUE,12000,FALSE,TRUE,TRUE,1,"north","public",7000,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",TRUE,20330,2500,8000,10000,FALSE,6000,FALSE,TRUE,TRUE,1,"south","public",1000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",TRUE,17210,3300,6000,0,FALSE,3300,TRUE,TRUE,TRUE,3,"south","public",3000,25,3000,15,1000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",TRUE,30000,4800,10000,0,FALSE,0,FALSE,TRUE,TRUE,3,"north","public",7000,15,7000,15,7000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",FALSE,23000,2250,5000,5000,TRUE,0,FALSE,TRUE,TRUE,1,"north","public",11000,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",FALSE,16000,4300,5000,3000,TRUE,7000,FALSE,TRUE,TRUE,1,"north","public",3000,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",FALSE,26000,3000,4000,0,FALSE,4000,TRUE,FALSE,NA,NA,"north","public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
