"","X","grad","ex.tuition","ex.other","ex.rent","in.scholarship","in.tuition","in.home","debt","work","work.school","worknum","region","school","rev1","workhour1","rev2","workhour2","rev3","workhour3","rev4","workhour4","ofcrev","ofcwhr","ofcrev2","ofcwhr2","ofcrev3","ofcwhr3","ofcrev4","ofcwhr4","totalrev","totalexp","totalwhr"
"1",1,TRUE,8700,0,8000,0,FALSE,10000,FALSE,TRUE,"FALSE",0,"north","public",0,0,0,0,0,0,0,0,2400,12,0,0,0,0,0,0,2400,9740,12
"2",2,FALSE,11365,6500,8000,5000,FALSE,0,FALSE,TRUE,"TRUE",1,"north","public",5000,15,0,0,0,0,0,0,3000,2.5,0,0,0,0,0,0,8000,16773,17.5
"3",3,FALSE,24223,0,8000,0,TRUE,6000,FALSE,TRUE,"TRUE",1,"north","public",5000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,12844.6,15
"4",4,TRUE,25000,5000,8000,0,TRUE,5000,FALSE,TRUE,"FALSE",0,"north","public",0,0,0,0,0,0,0,0,12000,80,0,0,0,0,0,0,12000,18000,80
"5",5,FALSE,8876,2125,5000,4000,TRUE,10000,FALSE,TRUE,"TRUE",1,"north","public",5000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,8900.2,15
"6",6,TRUE,13306,5000,6000,5000,FALSE,0,FALSE,TRUE,"TRUE",4,"south","public",7000,35,5000,25,3000,15,3000,15,0,0,0,0,0,0,0,0,18000,13661.2,90
"7",7,TRUE,11000,3750,11000,0,FALSE,10000,FALSE,TRUE,"TRUE",2,"north","public",9000,15,9000,35,0,0,0,0,0,0,0,0,0,0,0,0,18000,16950,50
"8",8,TRUE,12660,5000,12000,0,TRUE,12000,FALSE,TRUE,"TRUE",1,"north","public",7000,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,19532,45
"9",9,TRUE,20330,2500,8000,10000,FALSE,6000,FALSE,TRUE,"TRUE",1,"south","public",1000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,14566,15
"10",10,TRUE,17210,3300,6000,0,FALSE,3300,TRUE,TRUE,"TRUE",3,"south","public",3000,25,3000,15,1000,15,0,0,0,0,0,0,0,0,0,0,7000,12742,55
"11",11,TRUE,30000,4800,10000,0,FALSE,0,FALSE,TRUE,"TRUE",3,"north","public",7000,15,7000,15,7000,15,0,0,0,0,0,0,0,0,0,0,21000,20800,45
"12",12,FALSE,23000,2250,5000,5000,TRUE,0,FALSE,TRUE,"TRUE",1,"north","public",11000,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,11850,45
"13",13,FALSE,16000,4300,5000,3000,TRUE,7000,FALSE,TRUE,"TRUE",1,"north","public",3000,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,12500,25
"14",14,FALSE,26000,3000,4000,0,FALSE,4000,TRUE,FALSE,"0",0,"north","public",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12200,0
"15",15,FALSE,3000,8500,10000,0,TRUE,10000,FALSE,TRUE,"TRUE",1,"north","public",13000,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,19100,75
"16",16,FALSE,34200,9700,7000,0,TRUE,8000,FALSE,TRUE,"TRUE",1,"north","public",9000,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,23540,35
"17",17,FALSE,26000,0,5000,0,FALSE,0,FALSE,TRUE,"TRUE",1,"north","public",5000,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,10200,45
"18",18,FALSE,9000,0,5000,36000,TRUE,2500,FALSE,TRUE,"TRUE",1,"south","private",5000,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,6800,45
"19",19,FALSE,9000,0,5000,36000,TRUE,2500,FALSE,TRUE,"TRUE",1,"south","private",5000,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,6800,45
"20",20,FALSE,26000,2500,6000,0,TRUE,0,TRUE,TRUE,"TRUE",3,"east","public",5000,35,3000,35,0,0,0,0,0,0,0,0,0,0,0,0,8000,13700,70
"21",21,FALSE,24510,3310,9000,0,TRUE,10000,FALSE,TRUE,NA,2,"north","public",3000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,17212,15
"22",22,TRUE,10000,2500,10000,0,TRUE,10000,FALSE,TRUE,"FALSE",0,"north","public",0,0,0,0,0,0,0,0,8000,60,0,0,0,0,0,0,8000,14500,60
"23",23,FALSE,38000,3000,6000,0,TRUE,2000,TRUE,TRUE,"FALSE",0,"south","public",0,0,0,0,0,0,0,0,5000,40,1800,12.5,0,0,0,0,6800,16600,52.5
"24",24,FALSE,25000,4000,8000,0,TRUE,3000,TRUE,TRUE,"FALSE",0,"north","public",0,0,0,0,0,0,0,0,8000,20,0,0,0,0,0,0,8000,17000,20
"25",25,FALSE,49000,0,8000,5500,TRUE,8000,FALSE,TRUE,"TRUE",2,"central","private",5000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,17800,15
"26",26,FALSE,50000,4000,9000,0,FALSE,9000,TRUE,TRUE,"FALSE",0,"central","private",0,0,0,0,0,0,0,0,7000,60,6000,48,0,0,0,0,13000,23000,108
"27",27,FALSE,48692,4000,7000,0,TRUE,8000,FALSE,TRUE,"TRUE",1,"central","private",3000,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,20738.4,25
"28",28,FALSE,28000,2200,12000,0,TRUE,0,FALSE,TRUE,"FALSE",0,"north","public",0,0,0,0,0,0,0,0,6000,12,0,0,0,0,0,0,6000,19800,12
"29",29,FALSE,55000,4200,7000,0,TRUE,8500,FALSE,FALSE,"0",0,"central","private",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22200,0
"30",30,FALSE,35000,0,7000,0,FALSE,0,TRUE,TRUE,"FALSE",0,"central","private",0,0,0,0,0,0,0,0,8000,56,0,0,0,0,0,0,8000,14000,56
"31",31,FALSE,26045,1500,6000,0,TRUE,6000,FALSE,TRUE,"TRUE",1,"east","public",5000,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,12709,25
"32",32,TRUE,26000,7500,10000,15000,TRUE,10000,FALSE,TRUE,"TRUE",1,"north","public",7000,55,7000,65,0,0,0,0,0,0,0,0,0,0,0,0,14000,22700,120
"33",33,FALSE,25000,2500,7000,0,TRUE,10000,FALSE,TRUE,"TRUE",2,"east","public",3000,15,3000,5,0,0,0,0,3000,27,0,0,0,0,0,0,9000,14500,47
"34",34,FALSE,28354,2375,6000,0,TRUE,5000,TRUE,TRUE,"TRUE",1,"east","public",5000,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,14045.8,35
