grad,ex.tuition,ex.other,ex.rent,in.scholarship,in.tuition,in.home,debt,work,work.school,worknum,region,school,rev1,workhour1,rev2,workhour2,rev3,workhour3,rev4,workhour4,ofcrev,ofcwhr,ofcrev2,ofcwhr2,ofcrev3,ofcwhr3,ofcrev4,ofcwhr4,labor1,contract1,paywage1,satisfication1,labor2,contract2,paywage2,satisfication2,labor3,contract3,paywage3,satisfication3,labor4,contract4,paywage4,satisfication4,ofccontract1,ofcins1,ofcwage1,ofcsat1,ofccontract2,ofcins2,ofcwage2,ofcsat2,ofccontract3,ofcins3,ofcwage3,ofcsat3,ofccontract4,ofcins4,ofcwage4,ofcsat4,totalrev,totalexp,totalwhr,ofcnum1,ofcnum2,ofcnum3,ofcnum4,ofcworknum,totalworknum,totalcontract,totalins,totallabor,totallatepay,expense,total.ofc.latepay
FALSE,8876,2125,5000,4000,TRUE,10000,FALSE,TRUE,TRUE,1,north,public,5000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,8900.2,15,0,0,0,0,0,1,0,0,0,1,7125,0
TRUE,13306,5000,6000,5000,FALSE,0,FALSE,TRUE,TRUE,4,south,public,7000,35,5000,25,3000,15,3000,15,0,0,0,0,0,0,0,0,1,1,0,3,1,1,0,3,1,1,0,3,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,13661.2,90,0,0,0,0,0,4,4,0,4,0,11000,0
TRUE,11000,3750,11000,0,FALSE,10000,FALSE,TRUE,TRUE,2,north,public,9000,15,9000,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,16950,50,0,0,0,0,0,2,2,0,1,2,14750,0
TRUE,12660,5000,12000,0,TRUE,12000,FALSE,TRUE,TRUE,1,north,public,7000,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,19532,45,0,0,0,0,0,1,1,0,0,0,17000,0
TRUE,20330,2500,8000,10000,FALSE,6000,FALSE,TRUE,TRUE,1,south,public,1000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,14566,15,0,0,0,0,0,1,0,0,0,0,10500,0
TRUE,17210,3300,6000,0,FALSE,3300,TRUE,TRUE,TRUE,3,south,public,3000,25,3000,15,1000,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,12742,55,0,0,0,0,0,3,0,0,1,2,9300,0
TRUE,30000,4800,10000,0,FALSE,0,FALSE,TRUE,TRUE,3,north,public,7000,15,7000,15,7000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000,20800,45,0,0,0,0,0,3,0,0,0,1,14800,0
FALSE,23000,2250,5000,5000,TRUE,0,FALSE,TRUE,TRUE,1,north,public,11000,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,11850,45,0,0,0,0,0,1,1,0,1,0,7250,0
FALSE,16000,4300,5000,3000,TRUE,7000,FALSE,TRUE,TRUE,1,north,public,3000,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,12500,25,0,0,0,0,0,1,0,0,1,0,9300,0
FALSE,3000,8500,10000,0,TRUE,10000,FALSE,TRUE,TRUE,1,north,public,13000,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,19100,75,0,0,0,0,0,1,1,0,1,1,18500,0
FALSE,34200,9700,7000,0,TRUE,8000,FALSE,TRUE,TRUE,1,north,public,9000,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,23540,35,0,0,0,0,0,1,1,0,1,0,16700,0
FALSE,26000,0,5000,0,FALSE,0,FALSE,TRUE,TRUE,1,north,public,5000,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,10200,45,0,0,0,0,0,1,1,0,1,0,5000,0
FALSE,9000,0,5000,36000,TRUE,2500,FALSE,TRUE,TRUE,1,south,private,5000,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,6800,45,0,0,0,0,0,1,0,0,1,0,5000,0
FALSE,9000,0,5000,36000,TRUE,2500,FALSE,TRUE,TRUE,2,south,private,5000,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,6800,45,0,0,0,0,0,2,0,0,1,0,5000,0
FALSE,26000,2500,6000,0,TRUE,0,TRUE,TRUE,TRUE,3,east,public,5000,35,3000,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,13700,70,0,0,0,0,0,3,2,0,0,0,8500,0
FALSE,24510,3310,9000,0,TRUE,10000,FALSE,TRUE,TRUE,1,north,public,3000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,17212,15,0,0,0,0,0,1,1,0,0,0,12310,0
